HOG_GENE_A	HOG_GENE_B	COMP_GENE_A	COMP_GENE_B
HOG0000007	HOG0018352	AT2G29760	AT1G19800
HOG0000007	HOG0018564	AT2G29760	AT3G11890
HOG0000007	HOG0018793	AT2G29760	AT4G16835
HOG0000007	HOG0018875	AT2G29760	AT3G61170
HOG0000007	HOG0018907	AT2G29760	AT5G39980
HOG0000007	HOG0019041	AT2G29760	AT4G08940
HOG0000007	HOG0019135	AT2G29760	AT1G52640
HOG0000007	HOG0019251	AT2G29760	AT3G14730
HOG0000012	HOG0003798	AT5G48910	AT5G35630
HOG0000012	HOG0004247	AT5G48910	AT1G67950
HOG0000012	HOG0005517	AT5G48910	AT1G65610
HOG0000012	HOG0005874	AT5G48910	AT1G70660
HOG0000012	HOG0007151	AT5G48910	AT2G03620
HOG0000012	HOG0009597	AT5G48910	AT5G15250
HOG0000012	HOG0010736	AT5G48910	AT3G55270
HOG0000012	HOG0012825	AT5G48910	AT2G24765
HOG0000012	HOG0013797	AT5G48910	AT3G48560
HOG0000012	HOG0014637	AT5G48910	AT5G13070
HOG0000012	HOG0015356	AT5G48910	AT1G22770
HOG0000012	HOG0015478	AT5G48910	AT1G67960
HOG0000012	HOG0017090	AT5G48910	AT1G08480
HOG0000012	HOG0017398	AT5G48910	AT2G06010
HOG0000012	HOG0017591	AT5G48910	AT4G02030
HOG0000012	HOG0017940	AT5G48910	AT3G60680
HOG0000012	HOG0018008	AT5G48910	AT5G18475
HOG0000012	HOG0018059	AT5G48910	AT5G14080
HOG0000012	HOG0018452	AT5G48910	AT5G66631
HOG0000012	HOG0018721	AT5G48910	AT4G38225
HOG0000012	HOG0020353	AT5G48910	AT2G30480
HOG0000016	HOG0000224	AT5G40405	AT3G16770
HOG0000016	HOG0001648	AT5G40405	AT1G09850
HOG0000016	HOG0001866	AT5G40405	AT1G58340
HOG0000016	HOG0002256	AT5G40405	AT2G41510
HOG0000016	HOG0002619	AT5G40405	AT5G09970
HOG0000016	HOG0002620	AT5G40405	AT1G01190
HOG0000016	HOG0003031	AT5G40405	AT5G53970
HOG0000016	HOG0003357	AT5G40405	AT1G28550
HOG0000016	HOG0003382	AT5G40405	AT2G46860
HOG0000016	HOG0005052	AT5G40405	AT1G31130
HOG0000016	HOG0005692	AT5G40405	AT2G20740
HOG0000016	HOG0006180	AT5G40405	AT5G53350
HOG0000016	HOG0006268	AT5G40405	AT3G27960
HOG0000016	HOG0006780	AT5G40405	AT1G11940
HOG0000016	HOG0008380	AT5G40405	AT3G05675
HOG0000016	HOG0009429	AT5G40405	AT1G02400
HOG0000016	HOG0009983	AT5G40405	AT5G22310
HOG0000016	HOG0010724	AT5G40405	AT5G10890
HOG0000016	HOG0010780	AT5G40405	AT4G13270
HOG0000016	HOG0011045	AT5G40405	AT5G51920
HOG0000016	HOG0011226	AT5G40405	AT3G61070
HOG0000016	HOG0013419	AT5G40405	AT3G01910
HOG0000016	HOG0014240	AT5G40405	AT2G44065
HOG0000016	HOG0014260	AT5G40405	AT2G35370
HOG0000016	HOG0014440	AT5G40405	AT2G35790
HOG0000016	HOG0014494	AT5G40405	AT2G43235
HOG0000016	HOG0014766	AT5G40405	AT1G28100
HOG0000016	HOG0015186	AT5G40405	AT5G48545
HOG0000016	HOG0016063	AT5G40405	AT4G39920
HOG0000016	HOG0016350	AT5G40405	AT4G18465
HOG0000016	HOG0016539	AT5G40405	AT3G28970
HOG0000016	HOG0016690	AT5G40405	AT5G51510
HOG0000016	HOG0016934	AT5G40405	AT2G30080
HOG0000016	HOG0017211	AT5G40405	AT1G09130
HOG0000016	HOG0017325	AT5G40405	AT3G15520
HOG0000016	HOG0017545	AT5G40405	AT3G55330
HOG0000016	HOG0017551	AT5G40405	AT1G60770
HOG0000016	HOG0017849	AT5G40405	AT3G58520
HOG0000016	HOG0018105	AT5G40405	AT3G28460
HOG0000016	HOG0018136	AT5G40405	AT2G35900
HOG0000016	HOG0018317	AT5G40405	AT3G26085
HOG0000016	HOG0018697	AT5G40405	AT3G54480
HOG0000016	HOG0018873	AT5G40405	AT2G42560
HOG0000016	HOG0019469	AT5G40405	AT1G23390
HOG0000016	HOG0019664	AT5G40405	AT1G02290
HOG0000016	HOG0020119	AT5G40405	AT1G67035
HOG0000018	HOG0003147	AT1G31430	AT3G59060
HOG0000018	HOG0003159	AT1G31430	AT1G65620
HOG0000018	HOG0003388	AT1G31430	AT2G18230
HOG0000018	HOG0007963	AT1G31430	AT1G18480
HOG0000018	HOG0008468	AT1G31430	AT1G77370
HOG0000018	HOG0009181	AT1G31430	AT5G24170
HOG0000018	HOG0009182	AT1G31430	AT5G23550
HOG0000018	HOG0009823	AT1G31430	AT1G15060
HOG0000018	HOG0009980	AT1G31430	AT5G27950
HOG0000018	HOG0011094	AT1G31430	AT5G01720
HOG0000018	HOG0011295	AT1G31430	AT3G09230
HOG0000018	HOG0011873	AT1G31430	AT1G74390
HOG0000018	HOG0012204	AT1G31430	AT5G09210
HOG0000018	HOG0012773	AT1G31430	AT2G41705
HOG0000018	HOG0012879	AT1G31430	AT5G12310
HOG0000018	HOG0013083	AT1G31430	AT3G11720
HOG0000018	HOG0013126	AT1G31430	AT3G06150
HOG0000018	HOG0013167	AT1G31430	AT1G19715
HOG0000018	HOG0013318	AT1G31430	AT4G10750
HOG0000018	HOG0013358	AT1G31430	AT4G26900
HOG0000018	HOG0013393	AT1G31430	AT3G49410
HOG0000018	HOG0013671	AT1G31430	AT4G36720
HOG0000018	HOG0013757	AT1G31430	AT4G01560
HOG0000018	HOG0014030	AT1G31430	AT5G47180
HOG0000018	HOG0014131	AT1G31430	AT3G13062
HOG0000018	HOG0014153	AT1G31430	AT3G21600
HOG0000018	HOG0014165	AT1G31430	AT1G04390
HOG0000018	HOG0014231	AT1G31430	AT5G40710
HOG0000018	HOG0014500	AT1G31430	AT2G31190
HOG0000018	HOG0014564	AT1G31430	AT5G23890
HOG0000018	HOG0014630	AT1G31430	AT5G58110
HOG0000018	HOG0014664	AT1G31430	AT2G39630
HOG0000018	HOG0014674	AT1G31430	AT4G24550
HOG0000018	HOG0014952	AT1G31430	AT2G01360
HOG0000018	HOG0015018	AT1G31430	AT5G42710
HOG0000018	HOG0015089	AT1G31430	AT3G14890
HOG0000018	HOG0015124	AT1G31430	AT5G15750
HOG0000018	HOG0015435	AT1G31430	AT4G10090
HOG0000018	HOG0015554	AT1G31430	AT3G55510
HOG0000018	HOG0015572	AT1G31430	AT5G46420
HOG0000018	HOG0015591	AT1G31430	AT5G52980
HOG0000018	HOG0015791	AT1G31430	AT1G63490
HOG0000018	HOG0015812	AT1G31430	AT5G27830
HOG0000018	HOG0015873	AT1G31430	AT1G08460
HOG0000018	HOG0016078	AT1G31430	AT1G64990
HOG0000018	HOG0016127	AT1G31430	AT4G37480
HOG0000018	HOG0016295	AT1G31430	AT2G35360
HOG0000018	HOG0016322	AT1G31430	AT4G28830
HOG0000018	HOG0016648	AT1G31430	AT3G54290
HOG0000018	HOG0016917	AT1G31430	AT2G36835
HOG0000018	HOG0016951	AT1G31430	AT1G74070
HOG0000018	HOG0016977	AT1G31430	AT4G29060
HOG0000018	HOG0016984	AT1G31430	AT1G56050
HOG0000018	HOG0017007	AT1G31430	AT4G17240
HOG0000018	HOG0017241	AT1G31430	AT1G14300
HOG0000018	HOG0017434	AT1G31430	AT4G26965
HOG0000018	HOG0017504	AT1G31430	AT5G50210
HOG0000018	HOG0017519	AT1G31430	AT1G67620
HOG0000018	HOG0017621	AT1G31430	AT5G17660
HOG0000018	HOG0017657	AT1G31430	AT5G35400
HOG0000018	HOG0017678	AT1G31430	AT2G39805
HOG0000018	HOG0017884	AT1G31430	AT4G17010
HOG0000018	HOG0017923	AT1G31430	AT3G24430
HOG0000018	HOG0017963	AT1G31430	AT5G57345
HOG0000018	HOG0018126	AT1G31430	AT3G06610
HOG0000018	HOG0018155	AT1G31430	AT3G59490
HOG0000018	HOG0018396	AT1G31430	AT2G45530
HOG0000018	HOG0019043	AT1G31430	AT4G04330
HOG0000018	HOG0019530	AT1G31430	AT3G24500
HOG0000031	HOG0012347	AT4G38010	AT2G31870
HOG0000031	HOG0015337	AT4G38010	AT1G72180
HOG0000031	HOG0017433	AT4G38010	AT3G18020
HOG0000036	HOG0016038	AT4G37380	AT4G15840
HOG0000036	HOG0018471	AT4G37380	AT1G63990
HOG0000038	HOG0014121	AT3G26782	AT4G00450
HOG0000038	HOG0015055	AT3G26782	AT5G18410
HOG0000038	HOG0016062	AT3G26782	AT3G12010
HOG0000038	HOG0016325	AT3G26782	AT5G49580
HOG0000038	HOG0018835	AT3G26782	AT5G62030
HOG0000039	HOG0000082	AT4G33990	AT1G31920
HOG0000040	HOG0000089	AT1G11290	AT3G47530
HOG0000040	HOG0016660	AT1G11290	AT4G22830
HOG0000045	HOG0003149	AT3G23330	AT2G33100
HOG0000046	HOG0008087	AT3G57430	AT5G04270
HOG0000046	HOG0010361	AT3G57430	AT1G10280
HOG0000046	HOG0016280	AT3G57430	AT4G21530
HOG0000046	HOG0018807	AT3G57430	AT1G12470
HOG0000048	HOG0012969	AT1G20230	AT3G59770
HOG0000048	HOG0019004	AT1G20230	AT5G52630
HOG0000049	HOG0014948	AT1G16480	AT5G15280
HOG0000049	HOG0016641	AT1G16480	AT3G06810
HOG0000050	HOG0015295	AT5G09950	AT3G52570
HOG0000050	HOG0015743	AT5G09950	AT1G03160
HOG0000051	HOG0007900	AT3G02010	AT4G10650
HOG0000051	HOG0008695	AT3G02010	AT1G31160
HOG0000051	HOG0014599	AT3G02010	AT3G05000
HOG0000051	HOG0018549	AT3G02010	AT5G19020
HOG0000053	HOG0003782	AT3G13770	AT1G53270
HOG0000053	HOG0007773	AT3G13770	AT3G63500
HOG0000053	HOG0019032	AT3G13770	AT1G80080
HOG0000054	HOG0018461	AT3G49170	AT1G18270
HOG0000055	HOG0018700	AT2G27610	AT2G37310
HOG0000058	HOG0000345	AT2G03880	AT3G03220
HOG0000058	HOG0003883	AT2G03880	AT2G15570
HOG0000058	HOG0006542	AT2G03880	AT3G27090
HOG0000058	HOG0008033	AT2G03880	AT1G73620
HOG0000058	HOG0008796	AT2G03880	AT1G77360
HOG0000058	HOG0010206	AT2G03880	AT4G37650
HOG0000058	HOG0011754	AT2G03880	AT2G30300
HOG0000058	HOG0013074	AT2G03880	AT5G19930
HOG0000058	HOG0013265	AT2G03880	AT2G27090
HOG0000058	HOG0013286	AT2G03880	AT5G03555
HOG0000058	HOG0014029	AT2G03880	AT3G10370
HOG0000058	HOG0014290	AT2G03880	AT4G20940
HOG0000058	HOG0014478	AT2G03880	AT4G03210
HOG0000058	HOG0015617	AT2G03880	AT1G24040
HOG0000058	HOG0015912	AT2G03880	AT1G03687
HOG0000058	HOG0016282	AT2G03880	AT3G61360
HOG0000058	HOG0016354	AT2G03880	AT2G28910
HOG0000058	HOG0016464	AT2G03880	AT3G12030
HOG0000058	HOG0016794	AT2G03880	AT2G34510
HOG0000058	HOG0017240	AT2G03880	AT1G73930
HOG0000058	HOG0017645	AT2G03880	AT3G49900
HOG0000058	HOG0017820	AT2G03880	AT5G02820
HOG0000058	HOG0018336	AT2G03880	AT5G48170
HOG0000058	HOG0019675	AT2G03880	AT3G23360
HOG0000062	HOG0006516	AT5G04780	AT1G29890
HOG0000062	HOG0007306	AT5G04780	AT1G75500
HOG0000062	HOG0007909	AT5G04780	AT2G40930
HOG0000062	HOG0009339	AT5G04780	AT4G35060
HOG0000062	HOG0010977	AT5G04780	AT5G07720
HOG0000062	HOG0013189	AT5G04780	AT5G15440
HOG0000062	HOG0014085	AT5G04780	AT4G13400
HOG0000062	HOG0014308	AT5G04780	AT4G32650
HOG0000062	HOG0017600	AT5G04780	AT2G01860
HOG0000062	HOG0018099	AT5G04780	AT3G45020
HOG0000062	HOG0019890	AT5G04780	AT5G45120
HOG0000063	HOG0006334	AT4G14850	AT5G15570
HOG0000063	HOG0012230	AT4G14850	AT5G15100
HOG0000063	HOG0014089	AT4G14850	AT3G57340
HOG0000063	HOG0014346	AT4G14850	AT3G03380
HOG0000063	HOG0019652	AT4G14850	AT2G35030
HOG0000066	HOG0006221	AT5G16860	AT1G74680
HOG0000066	HOG0011296	AT5G16860	AT5G02040
HOG0000066	HOG0017503	AT5G16860	AT1G44900
HOG0000069	HOG0003150	AT4G18750	AT4G38190
HOG0000073	HOG0009944	AT3G49142	AT5G46920
HOG0000073	HOG0011806	AT3G49142	AT4G38070
HOG0000073	HOG0014522	AT3G49142	AT3G19090
HOG0000073	HOG0016312	AT3G49142	AT4G14965
HOG0000073	HOG0018026	AT3G49142	AT1G20300
HOG0000073	HOG0018793	AT3G49142	AT4G16835
HOG0000073	HOG0019135	AT3G49142	AT1G52640
HOG0000074	HOG0000458	AT3G16610	AT1G77210
HOG0000074	HOG0004173	AT3G16610	AT1G61670
HOG0000074	HOG0004697	AT3G16610	AT1G08830
HOG0000074	HOG0005195	AT3G16610	AT2G23070
HOG0000074	HOG0005652	AT3G16610	AT1G78980
HOG0000074	HOG0007063	AT3G16610	AT4G30430
HOG0000074	HOG0007105	AT3G16610	AT3G25040
HOG0000074	HOG0007452	AT3G16610	AT1G26300
HOG0000074	HOG0009751	AT3G16610	AT3G21430
HOG0000074	HOG0010458	AT3G16610	AT5G48030
HOG0000074	HOG0011656	AT3G16610	AT1G09795
HOG0000074	HOG0012330	AT3G16610	AT2G31030
HOG0000074	HOG0012493	AT3G16610	AT1G31940
HOG0000074	HOG0012656	AT3G16610	AT5G21100
HOG0000074	HOG0012862	AT3G16610	AT3G60500
HOG0000074	HOG0012918	AT3G16610	AT4G32130
HOG0000074	HOG0013485	AT3G16610	AT3G51870
HOG0000074	HOG0013798	AT3G16610	AT4G34090
HOG0000074	HOG0013835	AT3G16610	AT1G71110
HOG0000074	HOG0014699	AT3G16610	AT5G20930
HOG0000074	HOG0014832	AT3G16610	AT2G40000
HOG0000074	HOG0015202	AT3G16610	AT5G16420
HOG0000074	HOG0015618	AT3G16610	AT5G10910
HOG0000074	HOG0015701	AT3G16610	AT3G12350
HOG0000074	HOG0016237	AT3G16610	AT2G15230
HOG0000074	HOG0016565	AT3G16610	AT1G76400
HOG0000074	HOG0017025	AT3G16610	AT1G24340
HOG0000074	HOG0017091	AT3G16610	AT2G43980
HOG0000074	HOG0017117	AT3G16610	AT5G39940
HOG0000074	HOG0017222	AT3G16610	AT1G49350
HOG0000074	HOG0017234	AT3G16610	AT5G61140
HOG0000074	HOG0017246	AT3G16610	AT3G03210
HOG0000074	HOG0017279	AT3G16610	AT3G10390
HOG0000074	HOG0017294	AT3G16610	AT3G45890
HOG0000074	HOG0017330	AT3G16610	AT1G54650
HOG0000074	HOG0017339	AT3G16610	AT4G33060
HOG0000074	HOG0017586	AT3G16610	AT2G44420
HOG0000074	HOG0017626	AT3G16610	AT1G79760
HOG0000074	HOG0017844	AT3G16610	AT5G08710
HOG0000074	HOG0017914	AT3G16610	AT3G13170
HOG0000074	HOG0018035	AT3G16610	AT5G27560
HOG0000074	HOG0018540	AT3G16610	AT3G11460
HOG0000074	HOG0020978	AT3G16610	AT3G42725
HOG0000074	HOG0021368	AT3G16610	AT3G49740
HOG0000077	HOG0011955	AT3G25060	AT4G34100
HOG0000077	HOG0014265	AT3G25060	AT5G53620
HOG0000077	HOG0014765	AT3G25060	AT3G02870
HOG0000077	HOG0015170	AT3G25060	AT1G14850
HOG0000077	HOG0015188	AT3G25060	AT3G03320
HOG0000077	HOG0015595	AT3G25060	AT5G47380
HOG0000077	HOG0016485	AT3G25060	AT1G79915
HOG0000077	HOG0016487	AT3G25060	AT1G16540
HOG0000077	HOG0017472	AT3G25060	AT5G52030
HOG0000077	HOG0018437	AT3G25060	AT5G20220
HOG0000077	HOG0018579	AT3G25060	AT1G28140
HOG0000077	HOG0019470	AT3G25060	AT1G47840
HOG0000079	HOG0001800	AT3G12770	AT4G11610
HOG0000079	HOG0003529	AT3G12770	AT3G63200
HOG0000079	HOG0005588	AT3G12770	AT5G38895
HOG0000079	HOG0009623	AT3G12770	AT2G03720
HOG0000079	HOG0016064	AT3G12770	AT3G49730
HOG0000079	HOG0017070	AT3G12770	AT4G01730
HOG0000079	HOG0017685	AT3G12770	AT1G11915
HOG0000080	HOG0002837	AT2G33760	AT2G18890
HOG0000080	HOG0008796	AT2G33760	AT1G77360
HOG0000080	HOG0008869	AT2G33760	AT5G64600
HOG0000080	HOG0011513	AT2G33760	AT1G29770
HOG0000080	HOG0013144	AT2G33760	AT5G12260
HOG0000080	HOG0014883	AT2G33760	AT4G33625
HOG0000080	HOG0015059	AT2G33760	AT1G63260
HOG0000080	HOG0015106	AT2G33760	AT3G19440
HOG0000080	HOG0015307	AT2G33760	AT1G30970
HOG0000080	HOG0015442	AT2G33760	AT5G59400
HOG0000080	HOG0016656	AT2G33760	AT1G34630
HOG0000080	HOG0017067	AT2G33760	AT5G19300
HOG0000080	HOG0017194	AT2G33760	AT5G19500
HOG0000080	HOG0017732	AT2G33760	AT4G19150
HOG0000080	HOG0018354	AT2G33760	AT3G56830
HOG0000080	HOG0018405	AT2G33760	AT4G00030
HOG0000080	HOG0018438	AT2G33760	AT4G29170
HOG0000080	HOG0018460	AT2G33760	AT1G74580
HOG0000080	HOG0019032	AT2G33760	AT1G80080
HOG0000082	HOG0011754	AT1G31920	AT2G30300
HOG0000082	HOG0014478	AT1G31920	AT4G03210
HOG0000082	HOG0016464	AT1G31920	AT3G12030
HOG0000082	HOG0021008	AT1G31920	AT1G24290
HOG0000083	HOG0007401	AT2G02980	AT4G40050
HOG0000083	HOG0012832	AT2G02980	AT3G18500
HOG0000083	HOG0014141	AT2G02980	AT1G72650
HOG0000083	HOG0017878	AT2G02980	AT5G48040
HOG0000083	HOG0018091	AT2G02980	AT3G44160
HOG0000089	HOG0014346	AT3G47530	AT3G03380
HOG0000089	HOG0017740	AT3G47530	AT1G77010
HOG0000089	HOG0018195	AT3G47530	AT1G09280
HOG0000126	HOG0013147	AT5G19640	AT4G38800
HOG0000126	HOG0013842	AT5G19640	AT3G62600
HOG0000126	HOG0015647	AT5G19640	AT4G20410
HOG0000126	HOG0017451	AT5G19640	AT4G13150
HOG0000126	HOG0017518	AT5G19640	AT1G28190
HOG0000126	HOG0017926	AT5G19640	AT2G26900
HOG0000126	HOG0018010	AT5G19640	AT1G28210
HOG0000129	HOG0001802	AT2G40460	AT5G06850
HOG0000129	HOG0003200	AT2G40460	AT3G05470
HOG0000129	HOG0005507	AT2G40460	AT2G36840
HOG0000129	HOG0006022	AT2G40460	AT5G49360
HOG0000129	HOG0006406	AT2G40460	AT5G13720
HOG0000129	HOG0007047	AT2G40460	AT5G08100
HOG0000129	HOG0007146	AT2G40460	AT5G46700
HOG0000129	HOG0008714	AT2G40460	AT3G17880
HOG0000129	HOG0011428	AT2G40460	AT3G12680
HOG0000129	HOG0012276	AT2G40460	AT5G14030
HOG0000129	HOG0013196	AT2G40460	AT1G67370
HOG0000129	HOG0013522	AT2G40460	AT4G04980
HOG0000129	HOG0013694	AT2G40460	AT4G10465
HOG0000129	HOG0013977	AT2G40460	AT5G23600
HOG0000129	HOG0014350	AT2G40460	AT3G15820
HOG0000129	HOG0015265	AT2G40460	AT4G14930
HOG0000129	HOG0015773	AT2G40460	AT4G34700
HOG0000129	HOG0015831	AT2G40460	AT1G27070
HOG0000129	HOG0017457	AT2G40460	AT3G12930
HOG0000129	HOG0017692	AT2G40460	AT5G11810
HOG0000129	HOG0018395	AT2G40460	AT5G51110
HOG0000132	HOG0000380	AT3G01350	AT5G62940
HOG0000132	HOG0002092	AT3G01350	AT2G26150
HOG0000132	HOG0002232	AT3G01350	AT1G60140
HOG0000132	HOG0003900	AT3G01350	AT2G20520
HOG0000132	HOG0004611	AT3G01350	AT3G60720
HOG0000132	HOG0007195	AT3G01350	AT5G58490
HOG0000132	HOG0007306	AT3G01350	AT1G75500
HOG0000132	HOG0008784	AT3G01350	AT4G00370
HOG0000132	HOG0009339	AT3G01350	AT4G35060
HOG0000132	HOG0012533	AT3G01350	AT3G51770
HOG0000132	HOG0012741	AT3G01350	AT2G45470
HOG0000132	HOG0013054	AT3G01350	AT1G51630
HOG0000132	HOG0014926	AT3G01350	AT5G64330
HOG0000132	HOG0018022	AT3G01350	AT4G27700
HOG0000135	HOG0008792	AT2G37900	AT3G11440
HOG0000135	HOG0016376	AT2G37900	AT3G02820
HOG0000135	HOG0018620	AT2G37900	AT2G42350
HOG0000137	HOG0001174	AT2G16720	AT3G21420
HOG0000137	HOG0001323	AT2G16720	AT5G53950
HOG0000137	HOG0001534	AT2G16720	AT5G10510
HOG0000137	HOG0001715	AT2G16720	AT2G16740
HOG0000137	HOG0002413	AT2G16720	AT1G31320
HOG0000137	HOG0002775	AT2G16720	AT5G20590
HOG0000137	HOG0003161	AT2G16720	AT3G13850
HOG0000137	HOG0003263	AT2G16720	AT5G18460
HOG0000137	HOG0003941	AT2G16720	AT3G01990
HOG0000137	HOG0004273	AT2G16720	AT5G17640
HOG0000137	HOG0004319	AT2G16720	AT1G65060
HOG0000137	HOG0004873	AT2G16720	AT1G48930
HOG0000137	HOG0005033	AT2G16720	AT3G10040
HOG0000137	HOG0005235	AT2G16720	AT1G10850
HOG0000137	HOG0005820	AT2G16720	AT5G17720
HOG0000137	HOG0006471	AT2G16720	AT5G48270
HOG0000137	HOG0006742	AT2G16720	AT1G75710
HOG0000137	HOG0006990	AT2G16720	AT5G66720
HOG0000137	HOG0007497	AT2G16720	AT1G30220
HOG0000137	HOG0008792	AT2G16720	AT3G11440
HOG0000137	HOG0009967	AT2G16720	AT2G30340
HOG0000137	HOG0010487	AT2G16720	AT3G18850
HOG0000137	HOG0010670	AT2G16720	AT5G10160
HOG0000137	HOG0010812	AT2G16720	AT4G29880
HOG0000137	HOG0011041	AT2G16720	AT3G16920
HOG0000137	HOG0011770	AT2G16720	AT2G13690
HOG0000137	HOG0012851	AT2G16720	AT1G51450
HOG0000137	HOG0012930	AT2G16720	AT5G12190
HOG0000137	HOG0013425	AT2G16720	AT2G36640
HOG0000137	HOG0014039	AT2G16720	AT5G50320
HOG0000137	HOG0014355	AT2G16720	AT1G74700
HOG0000137	HOG0014507	AT2G16720	AT5G17930
HOG0000137	HOG0014590	AT2G16720	AT3G21280
HOG0000137	HOG0014689	AT2G16720	AT1G05900
HOG0000137	HOG0014756	AT2G16720	AT1G78800
HOG0000137	HOG0015235	AT2G16720	AT3G19970
HOG0000137	HOG0015460	AT2G16720	AT3G63290
HOG0000137	HOG0015740	AT2G16720	AT2G44570
HOG0000137	HOG0016016	AT2G16720	AT3G28040
HOG0000137	HOG0016045	AT2G16720	AT1G32550
HOG0000137	HOG0016160	AT2G16720	AT5G47570
HOG0000137	HOG0016180	AT2G16720	AT5G46680
HOG0000137	HOG0016296	AT2G16720	AT1G01940
HOG0000137	HOG0016304	AT2G16720	AT3G19850
HOG0000137	HOG0016376	AT2G16720	AT3G02820
HOG0000137	HOG0016486	AT2G16720	AT4G20770
HOG0000137	HOG0016716	AT2G16720	AT2G47600
HOG0000137	HOG0016857	AT2G16720	AT3G48990
HOG0000137	HOG0016883	AT2G16720	AT4G01880
HOG0000137	HOG0016953	AT2G16720	AT4G34530
HOG0000137	HOG0017054	AT2G16720	AT2G03070
HOG0000137	HOG0017513	AT2G16720	AT2G36570
HOG0000137	HOG0017643	AT2G16720	AT1G17870
HOG0000137	HOG0017863	AT2G16720	AT3G20015
HOG0000137	HOG0017911	AT2G16720	AT3G13120
HOG0000137	HOG0018017	AT2G16720	AT3G47700
HOG0000137	HOG0018058	AT2G16720	AT5G16460
HOG0000137	HOG0018150	AT2G16720	AT1G64680
HOG0000137	HOG0018262	AT2G16720	AT5G45310
HOG0000137	HOG0018313	AT2G16720	AT5G13400
HOG0000137	HOG0018320	AT2G16720	AT3G56010
HOG0000137	HOG0018394	AT2G16720	AT5G56850
HOG0000137	HOG0018620	AT2G16720	AT2G42350
HOG0000137	HOG0018799	AT2G16720	AT5G54080
